epoch,loss,lr,val_loss
0,0.8175707881649336,0.0001,
1,0.8167397057016691,0.0001,
2,0.7602173686027527,0.0001,
3,0.7359079817930857,0.0001,
4,0.7276789570848147,0.0001,
5,0.7038389245669047,0.0001,
6,0.7185442075133324,0.0001,
7,0.7370198369026184,0.0001,
8,0.6678112670779228,0.0001,
9,0.6489608585834503,0.0001,
10,0.650019367535909,0.0001,
11,0.6140734528501829,0.0001,
12,0.5740278040369352,0.0001,
13,0.5864470104376475,0.0001,
14,0.5989916995167732,0.0001,
