epoch,loss,lr,val_loss
0,0.4703943183024724,0.0001,
1,0.3256518915295601,0.0001,
2,0.2468892658750216,0.0001,
3,0.22499016920725504,0.0001,
4,0.22778812299172083,0.0001,
5,0.20557285100221634,0.0001,
6,0.24758828183015189,0.0001,
7,0.19741633286078772,0.0001,
8,0.19346684962511063,0.0001,
9,0.19594211131334305,0.0001,
10,0.2036526029308637,0.0001,
11,0.1882815659046173,0.0001,
12,0.16749132921298346,0.0001,
13,0.16616936028003693,0.0001,
14,0.1699046790599823,0.0001,
15,0.1536864166458448,0.0001,
16,0.1810970976948738,0.0001,
17,0.18921741346518198,0.0001,
18,0.18821163972218832,0.0001,
19,0.16932682941357294,0.0001,
